,,,,PRODUCTOS QUE COMERCIALIZA,,,,
NO. ES,UBICACION,COLONIA,CP,MAGNA,PREMIUM,DIESEL,DME,
E01166,LIBERTAD #512,ZONA CENTRO,32000,S,N,S,N,
E01172,5 DE MAYO NO. 704 NORTE,HIDALGO,32010,S,N,N,N,
E01177,AVENIDA 16 DE SEPTIEMBRE N 2163,ARROYO COLORADO,32140,S,N,N,N,
E01178,SEVILLA NO. 4339,SANTA ROSA,32250,S,N,N,N,
E01180,AVENIDA INSURGENTES NO. 2980,EX HIPODROMO,32230,S,S,N,N,
E01181,CALLE BELIZARIO DOMINGUEZ N 2590,LEYES DE REFORMA,32090,S,N,N,N,
E01184,MELCHOR OCAMPO 755,BARRIO ALTO,32160,S,N,N,N,
E01185,AVENIDA DE LAS AMERICAS NO.1128,FRACCIONAMIENTO. LA PLAYA,32317,S,S,N,N,
E01186,CALLE ALTAMIRANO N 681,BARRIO ALTO,32160,S,N,N,N,
E01189,CALLE TLAXCALA Y PANAMA S/N,HIDALGO,32300,S,N,N,N,
E01194,AVENIDA TECNOLOGICO N 1255,CRUCERO,32500,S,N,N,N,
E01195,CALLE MONTEMAYOR N 800,HIPODROMO,32330,S,N,N,N,
E01198,AVENIDA CARLOS ANAYA  N 5439 ESQ OLMECAS,AZTECAS,32290,S,N,N,N,
E01201,SEVILLA NO. 5161,SAN ANTONIO,32250,S,N,N,N,
E01202,CONSTITUCION SUR NO. 523,MONUMENTO,32020,S,N,S,N,
E01205,DEL TRIGAL 7115,VIRREYES,32328,S,S,N,N,
E01211,CALLE ORO SUR #618 ESQ. MANUEL ACUNA,BARRIO ALTO,32160,S,N,N,N,
E01212,AVENIDA VICENTE GUERRERO N S/N,PARTIDO ESCOBEDO,32350,S,S,N,N,
E01216,AVENIDA DE LA RAZA NO. 2300,SYLVIAS,32330,S,N,N,N,
E01222,CARRETERA JUAREZ-PORVENIR KM. 35,,,S,N,N,N,
E01225,BLVD.OSCAR FLORES No. 5450,Sin Colonia,32652,S,S,N,N,
E01240,CARRETERA JUAREZ PORVENIR KM.025 ,,,S,N,S,N,
E01241,AVENIDA MANUEL J. CLOUTHIER (ANTES JILOTEPEC) No. 10104,AMPLIACION AEROPUERTO,32690,S,N,S,N,
E01243,AVENIDA GOMEZ MORIN No.1325,ELIAS SALUARCAR,32540,S,S,S,N,
E01245,BOULERVARD ZARAGOZA NO. 7931,,,S,N,N,N,
E01248,BOULERVARD MANUEL GOMEZ MORIN # 8394,PARTIDO SENECU,32460,S,S,N,N,
E02526,ADOLFO LOPEZ MATEOS 1604,MELCHOR OCAMPO,32380,S,S,N,N,
E03468,AVENIDA PLUTARCO ELIAS CALLES N 5015,TERCERA BUROCRATA,32350,S,S,N,N,
E03485,PERIMETRAL CARLOS AMAYA NO.510,MIRADOR,32260,S,N,N,N,
E03820,AV.DE LOS AZTECAS ESQ. CON PAVORREAL,GRANJAS DE CHAPULTEPEC,32670,S,N,S,N,
E03986,CARRET.PANAMERICANA NO. 6024,,,S,S,S,N,
E04002,BOULERVARD ING. BERNARDO NORZAGARAY NO. 3520,ALTAVISTA,32120,S,N,S,N,
E04070,AVENIDA MANUEL J. CLOUTHIER NO.7355,DEL  REAL,32690,S,N,N,N,
E04159,AVENIDA DE LAS TORRES N 540,SALVARCAR,32590,S,N,N,N,
E04179,AVENIDA RAFAEL PEREZ SERNA NO. 676,PARTIDO ROMERO,32330,S,S,S,N,
E04184,AVENIDA HENEQUEN N 10114,SALVARCAR 118,32690,S,N,N,N,
E04188,AVENIDA RAFAEL PEREZ SERNA N 755,PARTIDO ROMERO,32330,S,S,S,N,
E04225,AVENIDA HENEQUEN N 490,MORELOS DOS,32590,S,N,S,N,
E04260,CARRETERA JUAREZ PORVENIR S/N,,,S,S,S,N,
E04261,AVENIDA JILOTEPEC N 1325 (M J LCOUTHIER),MARISABEL,32540,S,N,S,N,
E04272,ADOLFO LOPEZ MATEOS NO. 1417,MAGISTERIAL,32350,S,S,N,N,
E04331,AVENIDA MANUEL GOMEZ MORIN N 1420,SATELITE,32540,S,N,N,N,
E04417,BOULERVARD ZARAGOZA NO.505,DIVISION DEL NORTE,32670,S,N,S,N,
E04457,BOULERVARD JUAREZ PORVENIR NO. 1725,S/C,31857,S,S,S,N,
E04495,EJE VIAL JUAN GABRIEL N 2418,PARTIDO IGLESIAS,32600,S,N,S,N,
E04571,EJE VIAL JUAN GABRIEL NO. 5471,FRACCIONAMIENTO. JARUDO DEL NORTE,32389,S,S,S,N,
E04624,AVENIDA JILOTEPEC N 10105  (M J CLOUTHIER),AMP AEROPUERTO,32320,S,N,N,N,
E04655,AVENIDA PROL EJERCITO NACIONAL N 8181,PARTIDO IGLESIAS,32610,S,N,N,N,
E05002,AVENIDA TOMAS FERNANDEZ N 8751,PARQUE INDUSTRIAL A  J  BERMUDEZ,32470,S,S,N,N,
E05170,AVENIDA PLUTARCO ELIAS CALLES N 2260,PARTIDO IGLESIAS,32528,S,S,N,N,
E05270,CARRETERA A CASAS GRANDES KM 20,,,S,S,S,N,
E05277,BOULERVARD ZARAGOZA N 7931,FRACCIONAMIENTO EL GRANJERO,32690,S,S,N,N,
E05317,AVENIDA MUNICIPIO LIBRE N 10,ADICION SUR,32000,S,S,N,N,
E05409,BOULERVARD BERNARDO NORZAGARAY No. 5950,DISTRITO BRAVOS,32120,S,N,N,N,
E05465,AVENIDA DE LOS AZTECAS NO. 7821,JOSE MARIA MORELOS,32670,S,S,S,N,
E05613,AVENIDA SANTIAGO BLANCAS NO.950,BOSQUES DE SALVACAR,32670,S,S,N,N,
E05677,BOULERVARD ZARAGOZANO. 8304,EL GRANJERO,32690,S,S,N,N,
E05704,AVENIDA 16 DE SEPTIEMBRE No. 1981,PARTIDO ROMERO,32030,S,S,N,N,
E05888,AVENIDA SANTIAGO TRONCOSO NO.314,FRACCIONAMIENTO. PRADERAS DEL SUR,32574,S,N,N,N,
E05904,AVENIDA EJERCITO NACIONAL NO. 6180,FRACCIONAMIENTOIONAMIENTO DEL MARQUEZ,32600,S,S,N,N,
E05909,AVENIDA EJERCITO NACIONAL NO. 7840,PARTIDO IGLESIAS,32610,S,S,N,N,
E05979,AVENIDA DE LA RAZA NUM. 5310,LOS LAGOS,32340,S,S,N,N,
E06111,HOSPITAL NO. 5803 ESQUINA CAUCHO,INSURGENTES,32150,S,S,N,N,
E06127,AVENIDA BUFALO #2100,HORIZONTES DEL SUR,32580,S,S,N,N,
E06165,AVENIDA EJERCITO NACIONAL NO. 5230,BENITO JUAREZ,32390,S,S,N,N,
E06269,RAMON RAYON ESQ. CALLE ARQUITECTOS No. 2072,HORIZONTES DEL SUR,32580,S,S,N,N,
E06357,BOULEVARD OSCAR TIJERINA NO. 6751,NUEVO HIPODROMO,32674,S,S,N,N,
E06405,BOULEVARD OSCAR FLORES Y BOULEVARD ZARAGOZA  NO.6621,ROMA,32380,S,S,N,N,
E06406,BOULERVARD OSCAR FLORES NO. 3651,PARTIDO IGLESIAS,32625,S,S,S,N,
E06410,AVENIDA PASEO DE LA VICTORIA NO. 4420,BOSQUES DEL SOL,32617,S,S,N,N,
E06416,PERIMETRAL CARLOS AMAYA No. 1395,AZTECA,32280,S,S,N,N,
E06452,LIBRAMIENTO AEROPUERTO Y CARRETERA JUAREZ PORVENIR NO.360,ZARAGOZA,32703,S,S,S,N,
E06514,PASEO DE LA VICTORIA N0.9350 ESQ. CALLE TAPIOCA,PARTIDO SENECU,32700,S,S,N,N,
E06515,"SANTIAGO BLANCAS NO. 306, ESQ. RAMON RAYON",PRADERAS DEL SUR,32700,S,S,N,N,
E06641,PUERTO DE PALOS NO. 651,ADICION SUR-ORIENTE,32599,S,S,N,N,
E06642,AVENIDA RAMON RAYON NO. 9351,PARAJES DEL SOL,32690,S,S,N,N,
E06643,HACIENDA DE LAS TORRES NO. 10251,PARAJES DEL SOL,32695,S,S,N,N,
E06683,PASEO DE LA VICTORIA NO.8050 ESQ. PROLONGACION MORELIA,PARTIDO IGLESIAS,32662,S,S,N,N,
E06722,AVENIDA EJERCITO NACIONAL NO. 8694,PARTIDO IGLESIAS,32528,S,S,N,N,
E06806,BOULEVARD INDEPENDENCIA NO. 1570,ADICION SUR ORIENTE,32599,S,S,N,N,
E06835,PERIMETRAL CARLOS AMAYA NO. 2182,GALEANA,32320,S,S,N,N,
E06905,BOULEVARD OSCAR FLORES SANCHEZ NO. 2734,DIVISION DEL NORTE,32620,S,S,N,N,
E06912,BOULEVARD ZARAGOZA NO. 8050,EL GRANJERO,32690,S,S,N,N,
E06915,PASEO TRIUNFO DE LA REPUBLICALLE NO. 6004,PARTIDO DIAZ,32320,S,S,N,N,
E06941,AVENIDA DE LAS TORRES NO. 1910,TORRES DEL SUR,32574,S,S,N,N,
E06947,PUERTO DE PALOS NO. 1050,TIERRA NUEVA,32300,S,S,N,N,
E06977,MANUEL GOMEZ MORIN NO. 7396,ADICION ORIENTAL,32500,S,S,N,N,
E06978,LIBRAMIENTO REGIONAL NO. 8150,INFONAVIT FIDEL VELAZQUEZ,32420,S,S,N,N,
E06987,CARRETERA PANAMERICANA NO. 7115,PARQUE INDUSTRIAL ZARAGOZA,32690,S,S,N,N,
E07116,"AVENIDA DE LOS AZTECAS NO. 9109, ESQ. BOULERVARD ZARAGOZA",FRACCIONAMIENTO. CIUDAD MODERNA,32690,S,S,N,N,
E07117,CARRET.PANAMERICANA NO. 9150,ADICION SUR,32690,S,S,N,N,
E07118,PERIMETRAL CARLOS AMAYA NO. 3119,HERMENEGILDO GALEANA,32240,S,S,N,N,
E07119,FRANCISCO SARABIA NO. 347,ADICION-SUR,32080,S,S,N,N,
E07167,MIGUEL DE LA MADRID NO. 7675,HEROES DE LA REVOLUCION,32696,S,S,N,N,
E07226,AVENIDA SANTIAGO BLANCAS NO. 250,HORIZONTES DEL SUR,32700,S,S,N,N,
E07227,AVENIDA ZARAGOZA NO. 106,EJIDO SALVARCAR,32570,S,S,N,N,
E07241,AVENIDA LERDO NO. 281,ADICION ORIENTAL,32000,S,S,N,N,
E07275,AVENIDA RAMON RAYON NO. 450,HORIZONTES DEL SUR,32360,S,S,N,N,
E07299,AVENIDA VICENTE GUERRERO NO. 2604,PARTIDO ESCOBEDO,32330,S,S,N,N,
E07302,AVENIDA LAS TORRES NO. 2431,COL. LOTE BRAVO,32695,S,S,N,N,
E07362,PROLONGACION EJE VIAL JUAN GABRIEL NO. 9470,PUENTE ALTO,32695,S,S,N,N,
E07371,AVENIDA TECNOLOGICO S/N,AEROPUERTO,32680,S,S,N,N,
E07464,CARRETERA PANAMERICANA # 9581,PARQUE INDUSTRIAL AEROPUERTO,32695,S,S,S,N,
E07476,BOULERVARD OSCAR FLORES SANCHEZ NO. 5004,FRACCIONAMIENTO. LA CUESTA PRIMERA SECCION,32650,S,S,N,N,
E07486,"CARRETERA CASAS GRANDES KM. 8, S/N",PLAZUELA DE ACU$A,32675,S,N,S,N,
E07492,"BOULERVARD ZARAGOZA NO. 6141,",PARQUE INDUSTRIAL ZARAGOZA 1 ETAPA,32690,S,S,N,N,
E07580,BOULERVARD TEOFILO BORUNDA NO. 7450,JARDINES DEL LAGO,32616,S,S,N,N,
E07662,AVENIDA DIVISION DEL NORTE # 464,MARIANO ESCOBEDO,32230,S,S,N,N,
E07667,AVENIDA TECNOLOGICO NO. 6690,FRACCIONAMIENTO. AMPLIACION AEROPUERTO,32690,S,S,N,N,
E07724,PLUTARCO ELIAS CALLES NO. 615,ADICION ORIENTAL,32310,S,S,N,N,
E07776,CALLE DURANGO NO. 2680,FRACCIONAMIENTO. HORIZONTES DEL SUR 17 ETAPA,32515,S,S,N,N,
E07818,BOULEVARD OSCAR FLORES SANCHEZ NO. 9591,PUENTE ALTO,32700,S,S,N,N,
E08076,CARRETERA JUAREZ-PORVENIR NO. 1657,EJIDO ZARAGOZA,32000,S,N,N,N,
E08126,"AVENIDA JILOTEPEC NO. 750, ESQ. CARRETERA JUAREZ-PORVENIR",ANTIGUA SECCION MUNICIPAL,32580,S,S,N,N,
E08244,AVENIDA MANUEL TALAMAS CAMANDARY NO. 850,MANUEL GOMEZ MORIN,32575,S,S,S,N,
E08373,HENEQUE Y OAXACALLE NO. 850,SALVARCAR,32573,S,S,N,N,
E08374,BOULERVARD OSCAR FLORES SANCHEZ NO. 8651,PARQUE INDUSTRIAL AEROPUERTO,32675,S,S,N,N,
E08375,CARRETERA PANAMERICANA NO. 9371,FRACCIONAMIENTO. PUENTE ALTO,32688,S,S,N,N,
E08376,AVENIDA PONCIANO ARRIAGA NO. 5451,REVOLUCION MEXICANA,32688,S,S,N,N,
E08417,BOULERVARD IV SIGLOS NO. 10350,MANUEL DOBLADO,32403,S,S,S,N,
E08434,AVENIDA MANUEL TALAMAS CAMANDARI NO.910,FRACCIONAMIENTO. MUNICIPIO LIBRE,32700,S,S,N,N,
E08438,CARRETERA JUAREZ-CASAS GRANDES NO. 3721,VILLA ESPERANZA,32691,S,S,S,N,
E08470,CALLE CENTENO NO. 8175,FRACCIONAMIENTOIONAMIENTO EL GRANJERO,32690,S,S,N,N,
E08486,AVENIDA PASEO TRIUNFO DE LA REPUBLICALLE NO. 5298-B,ALAMOS DE SAN LORENZO,32320,S,S,N,N,
E08546,AVENIDA TECNOLOGICO NO. 6005,FRACCIONAMIENTOIONAMIENTO AEROPUERTO,32690,S,S,N,N,
E08575,EJE VIAL JUAN GABRIEL NO.9805,PUENTE ALTO,32675,S,S,N,N,
E08650,BOULERVARD MANUEL TALAMAS CAMANDARI NO. 7070,ZACATE BLANCO,32695,S,S,S,N,
E08669,AVENIDA DIVISION DEL NORTE NO. 3526,EMILIANO ZAPATA,32547,S,S,S,N,
E08792,AVENIDA DE LA RAZA NO. 6375,DEL FUTURO,32320,S,S,N,N,
E08883,AVENIDA SANTIAGO BLANCAS #8512,COMPLEJO INDUSTRIAL AEROPUERTO,32695,S,S,N,N,
E08905,AVENIDA DE LAS TORRES # 3151-1,HACIENDA  DE LAS TORRES,32695,S,S,N,N,
E08911,AVENIDA TECNOLOGICO NO. 3018,PRADERA DORADA,32310,S,S,N,N,
E08917,CARRETERA JUAREZ-PORVENIR NO. 1631,FRACCIONAMIENTO. RIVERAS DEL BRAVO,32594,S,N,S,N,
E09101,AVENIDA TECNOLOGICO # 3505,PARTIDO IGLESIAS,32528,S,S,N,N,
E09122,BOULERVARD CUATRO SIGLOS NO. 10505,FRACCIONAMIENTO. JARDINES DE ARAGON ETAPA I,32472,S,S,N,N,
E09123,HACIENDA DEL RETIRO NO.3220,HACIENDA LAS TORRES UNIVERSIDAD I,32695,S,S,N,N,
E09138,BOULERVARD INDEPENDENCIA NO. 2710,LOTE BRAVO,32575,S,S,S,N,
E09191,AVENIDA PASEO DEL SUR  # 105,FRACCIONAMIENTO PARAJE DEL SUR,32030,S,S,S,N,
E09205,CALLE PUERTO LA PALMA # 1851,LOTE BRAVO,32695,S,S,N,N,
E09235,AVENIDA AERONAUTICALLE NO.7023,FRACCIONAMIENTO. JARDINES DEL AEROPUERTO,32695,S,S,S,N,
E09261,CARRETERA PANAMERICANA NO. 10325,FRACCIONAMIENTO. GRANJAS POLO GAMBOA,32695,S,S,S,N,
E09293,PALACIO DE MITLA # 9241,FRACCIONAMIENTO. PASEO DE SANTA MONICA,32310,S,S,N,N,
E09300,AVENIDA EJERCITO NACIONAL # 8550,PARTIDO IGLESIAS,32528,S,S,N,N,
E09468,CALLE IGNACIO ALATORRE # 2765,LEYES DE REFORMA,32090,S,S,N,N,
E09682,CARRETERA CASAS GRANDES NO. 951,,,S,S,S,N,
E09686,BOULERVARD ING. BERNARDO NORZAGARAY NO. 8211,LADRILLERA DE JUAREZ,32108,S,S,S,N,
E09733,AVENIDA EJERCITO NACIONAL # 10151,PARTIDO SENECU,32543,S,S,N,N,
E09750,BOULERVARD ZARAGOZA NO. 1708-45,PARAJE DE ORIENTE,32575,S,S,N,N,
E09885,CUSTODIA DE LA REPUBLICALLE NO. 1015,FRAY GARCIA DE SAN FRANCISCO,32575,S,S,N,N,
E09893,BOULERVARD BERNARDO NORZAGARAY NO. 7270,FELIPE ANGELES,32100,S,S,S,N,
E09919,RANCHO ANAPRA NO. 10720,PUERTO DE ANAPRA ETAPA III,32107,S,S,S,N,
E09962,BOULERVARD MANUEL GOMEZ MORIN # 9470,PARTIDO SENECU,32459,S,S,N,N,
E09981,ANTONIO PERALTA NO. 4325,LOTE BRAVO,32695,S,S,S,N,
E10041,AVENIDA MANUEL TALAMAS CAMANDARI NO. 1900,ORIENTE XXI (EJIDO ZARAGOZA),32575,S,S,N,N,
E10109,AVENIDA MANUEL TALAMAS CAMANDARI # 1184,FRACCIONAMIENTO. PARAJES DEL SUR,32310,S,S,N,N,
E10141,AVENIDA LEONARDO SOLIS BARRAZA NO. 2205,FRACCIONAMIENTO. URBI VILLA DEL PRADO,32000,S,S,N,N,
E10220,BARRANCO AZUL NO. 2030,TORIBIO ORTEGA,32675,S,S,N,N,
E10257,HACIENDA PONIENTE 9300 ESQ. HACIENDA VALSEQUILLA,FRACCIONAMIENTOIONAMIENTO LAS HACIENDAS II,32575,S,S,N,N,
E10372,PROLONGACION AVENIDA MANUEL TALAMAS CAMANDARI NO.1151,EL BARREAL,32599,S,S,N,N,
E10441,BOULERVARD JUAN PABLO II NO. 1147,ZARAGOZA,32107,S,S,S,N,
E11178,CARRETERA PANAMERICANA KM 330+141.38 EJ. VILLA LUZ MARGEN DERECHO,,,S,S,S,N,
E11212,AVENIDA PASEO TRIUNFO DE LA REPUBLICALLE # 4635,FRACCIONAMIENTO. MONUMENTAL,32310,S,S,N,N,
E11708,EJE VIAL JUAN GABRIEL NO. 10342,COLINAS DEL NORTE,32674,S,S,N,N,
E12097,AVENIDA SANTIAGO TRONCOSO NO. 1701,URBIVILLA BONITA,32550,S,S,S,N,
E12141,VALLE DEL SOL NO.1128,EJIDO SALVARCAR,32599,S,S,N,N,
E12612,LIBRAMIENTO SAMALAYUCALLE - SAN JERONIMO KM 19,,,S,S,S,N,
J01095,BOULERVARD OSCAR FLORES NO.4000 DEL LOTE 12,FRACCIONAMIENTO. EL JARUDO,32659,N,N,S,N,
J01189,KM 15 CARRETERA PANAMERICANA NO. 9760,PREDIO ZACATE BLANCO,32690,N,N,S,N,
J01288,BOULERVARD TEOFILO BORUNDA NO. 6250,EL JARUDO,32589,N,N,S,N,
J01394,BOULERVARD OSCAR FLORES SANCHEZ NO. 9280,PUENTE ALTO,32695,N,N,S,N,
J01437,AVENIDA ENRIQUE PINOCELLI NO. 7611,LOTE BRAVO,32690,N,N,S,N,
E03271,ENTRONQUE L. CARDENAS - MEOQUI,SAN JOSE,33160,S,N,S,N,
E11764,LOTIFICACION DE LA FRACCIONAMIENTOION DE LA FRACCIONAMIENTOION LOTE 46 Y21,LOS CIENES,32950,S,N,S,N,
E10509,CAMINO LATERAL AL CAMINO REAL S/N KM .00,,,S,S,S,N,
E09277,CARRETERA LOPEZ CORONADO NO. 846,SIN COLONIA,33940,S,S,S,N,
E01345,TERCERA E INTERNACIONAL S/N,CENTRO,31943,S,N,S,N,
E04626,CARRETERA MADERA-CHIHUAHUA KM 1,,,S,S,S,N,
E07719,TERCERA Y MORELOS S/N,CENTRO,31940,S,N,N,N,
E07767,QUINTA S/N,CENTRO,31940,S,S,S,N,
E07898,CALLE PRINCIPAL NO. 206,S/C,31956,S,N,S,N,
E01391,CALLE MORELOS N 26,CENTRO,33131,S,N,S,N,
E06822,CARRETERA PANAMERICANA KM 388,SIN COLONIA,33961,S,S,S,N,
E01365,FRANCISCO VAZQUEZ GOMEZ NO. 5,CENTRO,33131,S,N,S,N,
E01392,ALDAMA NO. 89,CENTRO,33131,S,S,S,N,
E03947,CARRETERA PANAMERICANA  JIMENEZ-CHIHUAHUA (TRAMO DELICIAS-CHIH.) KM 174+500,,,S,N,S,N,
E05977,DEGOLLADO No.1200,CENTRO,33130,S,S,S,N,
E06205,AUTOPISTA JIMENEZ-CHIHUAHUA KM 149+600,,,S,S,S,N,
E06794,CARRETERA FEDERAL JIMENEZ - CHIHUAHUA KM 148.47,,,S,S,S,N,
E09678,CARRETERA PANAMERICANA TRAMO JIMENEZ-CHIH. KM ,,,S,S,S,N,
E11309,CARLOS CARRASCO NO. 1300,S/C,33139,S,N,S,N,
E01357,AVENIDA 12 DE AGOSTO N 1309,OSCAR SOTO MAYNEZ,00000,S,N,S,N,
E01393,AVENIDA LOPEZ MATEOS N S/N,LA PLAZA,39961,S,N,S,N,
E01396,AVENIDA INSURGENTES N 11,EL MOLINO,31961,S,N,S,N,
E01399,AVENIDA LOPEZ MATEOS NO. 100,CASAS COLORADAS,31964,S,N,S,N,
E01400,CALLE 2 N S/N,INDEPENDENCIA,31967,S,N,S,N,
E03254,"CARRETERA NAMIQUIPA-CHIHUAHUA, EN STA.CATALINA VILLELA",,,S,S,S,N,
E04134,CAMPO MENONITA N 51,SANTA CLARA,31500,S,N,S,N,
E05544,CARRETERA CUAUHTEMOC - SOTO MAYNES KM KM. 222,,,S,N,S,N,
E05949,CARRETERA PANAMERICANA-EL TERRERO  KM 84+500,MENONITA JAGUEYES,31603,S,N,S,N,
E10910,CARRETERA NAMIQUIPA A CHIHUAHUA KM 85.00,,,S,S,S,N,
E08839,CALLEJON A NONOAVA S/N,BARRIO DE LOS MOROS,33170,S,S,S,N,
E01221,AVENIDA BENITO JUAREZ NO.4002,DUBLAN,31710,S,S,S,N,
E01230,CALLEJON 20 DE NOVIEMBRE N 312,CENTRO,31700,S,N,N,N,
E01231,5 DE MAYO NO.602,CENTRO,31700,S,S,S,N,
E01233,AVENIDA TECNOLOGICO NO.100,CENTRO,31700,S,N,S,N,
E01235,AVENIDA BENITO JUAREZ NO. 2408,CENTRO,31700,S,S,S,N,
E01236,AVENIDA JUAREZ 2508,CENTRO,31700,S,N,S,N,
E03946,LIBRAMIENTO GOMEZ MORIN Y CALLE 4 KM.0,,,S,N,S,N,
E06939,AVENIDA TECNOLOGICO NO. 5900,MAGISTERIAL,31789,S,S,S,N,
E06996,AVENIDA TECNOLOGICO NO.5720,CENTRO,31710,S,S,S,N,
E10378,LIBRAMIENTO GOMEZ MORIN 4600,,,S,S,S,N,
E11868,AVENIDA BENITO JUAREZ NO.5801,DUBLAN,31710,S,S,S,N,
E09027,DENTRO DE LA PROPIEDAD DE GAMMON LAKE DE MEXICO,S/C,0000,S,N,S,N,
E10360,CARRETERA CHIHUAHUA-HERMOSILLO KM 280.80,,,S,N,S,N,
E11706,CARRETERA FEDERAL CHIHUAHUA-HERMOSILLO,,,S,S,S,N,
E01378,BOULERVARD LIBRE COMERCIO NO. 1200,EMILIANO ZAPATA,32881,S,S,N,N,
E01402,CALLE TRASVI#A Y RETES N S/N,CENTRO,32881,S,N,N,N,
E03338,BOULERVARD LIBRE COMERCIO NO. 1509,LOMAS DEL CONCHOS,32881,S,S,S,N,
E04634,CALLE LIBRE COMERCIO NO. 1300,2 DE OCTUBRE,32885,S,S,S,N,
E08633,FRACCIONAMIENTOION DEL LOTE NUM 20 S/N,NUEVA HOLANDA,32881,S,N,S,N,
E08893,CALLE PRINCIPAL S/N,OASIS,32880,S,N,S,N,
E09141,BULEVARD LIBRE COMERCIO NO. 1009,CONSTITUCION,32882,S,S,S,N,
E10133,BULEVAR OSCAR FLORES NO.12,CONSTITUCION,32880,S,S,N,N,
E12028,LOTE 106 S/N,NUEVA HOLANDA,32886,S,N,S,N,
E03184,AVENIDA MORELOS N S/N,PRAXEDIS,32780,S,N,S,N,
E01366,CAMPO MENONITA # 60,CAMPO MENONITA # 60,32790,S,N,S,N,
E01412,CARRETERA CHIHUAHUA-NAMIQUIPA KM. 53+4,S/C,31640,S,N,S,N,
E06206,LOTE NO.20,FRACCIONAMIENTOIONAMIENTO RANCHO BUENAVISTA,31640,S,N,S,N,
E03569,AVENIDA CENTRAL Y CALLE DURANGO S/N,CENTRO,33120,S,S,S,N,
E10852,CARRETERA DELICIAS-ROSALES KM 3.50,,,S,S,S,N,
E06861,CARRETERA SAN FRANCISCO DE BORJA-EL MIRADOR KM 2.20,,,S,N,S,N,
E07545,FRANCISCO VILLA S/N,S/C,S/C,S,S,S,N,
E02190,AVENIDA CENTENARIO NO. 20,CENTRO,33580,S,S,S,N,
E05302,KM. 10 CARRETERA PARRAL.STA.BARBARA,,,S,S,S,N,
E12202,AVENIDA CENTENARIO NO. 100,S/C,33580,S,S,S,N,
E07553,CHIHUAHUA CUAUHTEMOC VIA LIBRE KM KM. 45,,,S,S,S,N,
E02924,CARRETERA A SATEVO KM 49+900 ,Sin Colonia,33150,S,N,S,N,
E12160,CALLE VALLE DEL ROSARIO S/N,,,S,N,S,N,
E01418,CARR PANAMERICANA N S/N,BENITO JUAREZ,33620,S,S,S,N,
E03186,CALLE VICENTE GUERRERO N S/N,CENTRO,33140,S,N,S,N,
E07908,CARRETERA LIBRE DELICIAS-LAS VARAS-SAUCILLO L-325,,,S,S,S,N,
E08608,CARRETERA CAMARGO-SAUCILLO NO. 100,,,S,S,S,N,
E09980,CRISTOBAL COLON NO. 2400,CENTRO,33620,S,S,S,N,
E01420,AVENIDA JUAREZ N 12,Sin Colonia,31980,S,N,S,N,
E03958,KM 8 CARRT BAHUICHIVO-CREEL ESTACION BAHUCHIVO,ESTACION BAHUICHIVO,31420,S,N,S,N,
E02192,KM 63 CARRETERA VIA CORTA PARRAL-CHIHUAHUA NO.12,S/C,33650,S,S,S,N,
E00013,AVENIDA REVOLUCION NO. 1649,SAN ANGEL,1000,S,S,S,N,
E00029,BOULEVARD ADOLFO LOPEZ MATEOS NO. 282,SAN PEDRO DE LOS PINOS,1280,S,S,S,N,
E00119,INSURGENTES SUR NO.1937,GUADALUPE INN,1020,S,S,N,N,
E00120,INSURGENTES SUR NO. 2075 Y LA PAZ,SAN ANGEL ,1000,S,S,N,N,
E00333,CAMINO REAL A TOLUCALLE NO. 521,CRISTO REY ,1150,S,S,S,N,
E02517,AVENIDA SANTA LUCIA N0. 810,OLIVAR DEL CONDE,1400,S,S,N,N,
E02797,AVENIDA DE LAS FUENTES NO. 490,JARDINES DEL PEDREGAL,9110,S,S,N,N,
E02927,SAGREDO NO. 265,GUADALUPE INN,1020,S,S,N,N,
E03175,BOULERVARD ADOLFO L‡PEZ MATEOS N¯ 2491 Y DESIERTO DE LOS LEONES,SAN ANGEL INN,01060,S,S,N,N,
E03282,CALZADA DE LOS CORCELES NO. 300,FRACCIONAMIENTOIONAMIENTO COLINAS DEL SUR,1430,S,S,S,N,
E03758,CALZADA DE LAS AGUILAS NO. 912,AMPLIACION LAS AGUILAS,1759,S,S,N,N,
E04731,PERIFERICO SUR NO. 3352,JARDINES DEL PEDREGAL,1900,S,S,N,N,
E04807,AVENIDA CENTRAL NO. 386 F,SAN PEDRO DE LOS PINOS,1280,S,S,N,N,
E05565,PROLONGACION 5 DE MAYO NO. 3160,EXHACIENDA DE TARANGO,1620,S,S,S,N,
E05580,5 DE MAYO NO. 407,MERCED GOMEZ,1600,S,S,N,N,
E05817,AVENIDA VALENTIN GOMEZ FARIAS NO. 47,SANTA FE,1210,S,S,N,N,
E05943,CERRADA DE CANOA NO. 18,LA OTRA BANDA,1090,S,S,N,N,
E05986,RIO DE LA MAGDALENA NO. 10,LA OTRA BANDA,1090,S,S,N,N,
E07268,AVENIDA PROLONGACION PASEO DE LA REFORMA NO. 271,LOMAS DE SANTA FE,1219,S,S,N,N,
E08414,ROMULO O'FARRIL NO.298,OLIVAR DE LOS PADRES,1780,S,S,S,N,
E09096,CARRETERA MEXICO-TOLUCALLE NO. 1355,LOMAS DE BEZARES,11910,S,S,N,N,
J01023,CAMINO REAL A TOLUCALLE NO.527,CRISTO REY,1150,N,N,S,N,
