Producto,ProductoId,SubProducto,SubProductoId,SubProductoMarca,SubProductoMarcaId,Fecha de actualización
Diésel,3,Diésel Automotriz [contenido mayor de azufre a 15 mg/kg y contenido máximo de azufre de 500 mg/kg],16,Diésel con Techpro,49,15/04/2019
Diésel,3,Diésel Automotriz [contenido mayor de azufre a 15 mg/kg y contenido máximo de azufre de 500 mg/kg],16,Chevron-diésel,50,15/04/2019
Diésel,3,Diésel Automotriz [contenido mayor de azufre a 15 mg/kg y contenido máximo de azufre de 500 mg/kg],16,Shell-diésel,51,15/04/2019
Diésel,3,Diésel Automotriz [contenido mayor de azufre a 15 mg/kg y contenido máximo de azufre de 500 mg/kg],16,Black Gold-diésel,52,15/04/2019
Gasolina,7,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),13,Regular con Techpro,53,15/04/2019
Gasolina,7,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),13,Black Gold-Super,54,15/04/2019
Gasolina,7,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),13,F Plus,55,15/04/2019
Gasolina,7,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),14,Black Gold-Plus,56,15/04/2019
Gasolina,7,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),14,F Super,57,15/04/2019
Gasolina,7,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),14,Plus con Techpro,58,15/04/2019
Diésel,3,Diésel Automotriz [contenido mayor de azufre a 15 mg/kg y contenido máximo de azufre de 500 mg/kg],16,GGR-diésel,59,15/04/2019
Diésel,3,Diésel de Ultra Bajo Azufre (DUBA) [contenido máximo de azufre de 15 mg/kg],62,GGR-ulsd,60,15/04/2019
Gasolina,7,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),13,GGR-regular,61,15/04/2019
Gasolina,7,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),14,GGR-optima,62,15/04/2019
Gasolina,7,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),14,Repsol-efitec 92,63,15/04/2019
Diésel,3,Diésel Automotriz [contenido mayor de azufre a 15 mg/kg y contenido máximo de azufre de 500 mg/kg],16,A-diésel,64,15/04/2019
Gasolina,7,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),13,A-regular,65,15/04/2019
Gasolina,7,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),14,A-súper,66,15/04/2019
Diésel,3,Diésel Automotriz [contenido mayor de azufre a 15 mg/kg y contenido máximo de azufre de 500 mg/kg],16,Primero-Diésel,67,15/04/2019
Gasolina,7,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),13,Primero-Plus,68,15/04/2019
Gasolina,7,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),14,Primero-Premium,69,15/04/2019
Diésel,3,Diésel Automotriz [contenido mayor de azufre a 15 mg/kg y contenido máximo de azufre de 500 mg/kg],16,Diesel Power Supreme,70,15/04/2019
Diésel,3,Diésel Automotriz [contenido mayor de azufre a 15 mg/kg y contenido máximo de azufre de 500 mg/kg],16,Diesel windstar,71,15/04/2019
Gasolina,7,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),13,Power Plus,72,15/04/2019
Gasolina,7,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),13,Gasolina Regular Windstar,73,15/04/2019
Gasolina,7,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),14,Power Supreme,74,15/04/2019
Gasolina,7,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),14,Gasolina Premium Windstar,75,15/04/2019
Diésel,3,Diésel Automotriz [contenido mayor de azufre a 15 mg/kg y contenido máximo de azufre de 500 mg/kg],16,Masterfuel Diesel,76,15/04/2019
Diésel,3,Diésel Automotriz [contenido mayor de azufre a 15 mg/kg y contenido máximo de azufre de 500 mg/kg],16,Diesel Max Carroil,77,15/04/2019
Gasolina,7,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),13,Masterfuel Regular,78,15/04/2019
Gasolina,7,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),13,Ultra Blue Carroil,79,15/04/2019
Gasolina,7,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),14,Súper Orange Carroil,80,15/04/2019
Gasolina,7,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),14,Masterfuel Premium,81,15/04/2019
Diésel,3,Diésel Automotriz [contenido mayor de azufre a 15 mg/kg y contenido máximo de azufre de 500 mg/kg],16,Free Energy Diésel,82,15/04/2019
Diésel,3,Diésel Automotriz [contenido mayor de azufre a 15 mg/kg y contenido máximo de azufre de 500 mg/kg],16,RedCo diésel,83,15/04/2019
Diésel,3,Diésel Automotriz [contenido mayor de azufre a 15 mg/kg y contenido máximo de azufre de 500 mg/kg],16,ENER FORCE,84,15/04/2019
Diésel,3,Diésel de Ultra Bajo Azufre (DUBA) [contenido máximo de azufre de 15 mg/kg],62,Valero-Diésel,85,15/04/2019
Gasolina,7,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),13,Free Energy Regular Automotriz,86,15/04/2019
Gasolina,7,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),13,RedCo verde,87,15/04/2019
Gasolina,7,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),13,ECO ENER,88,15/04/2019
Gasolina,7,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),13,Valero-regular,89,15/04/2019
Gasolina,7,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),14,Valero-Premium,90,15/04/2019
Gasolina,7,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),14,Free Energy Plus Automotriz,91,15/04/2019
Gasolina,7,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),14,ENER ADVANCE,92,15/04/2019
